0,LRG_114t1
0,LRG_132t1
0,IFITM1
0,IFI6
0,ANXA2
0,LY6E
0,MYL12A
0,SH3BGRL3
0,CFL1
0,P4HA1
0,PFN1
0,IL32
0,CORO1A
0,AES
0,LDHA
0,TMSB10
0,MX1
0,EMP3
0,CYBA
0,RAC2
0,S100A6
0,LRG_52t1
0,ISG15
0,SHISA5
0,PPIA
0,CD52
0,S100A4
0,MT-RNR2
2.98117086572347e-12,LRG_97t1
2.98117086572347e-12,GNLY
2.98117086572347e-12,PTPRCAP
5.96234173144694e-12,S100A11
5.96234173144694e-12,ARPC1B
1.78870251943408e-11,PSME1
2.08681960600643e-11,TPI1
5.0679904717299e-11,HLA-A
1.07322151166045e-10,TPM3
1.3713385982328e-10,CRIP1
1.69926739346238e-10,SEPT1
1.69926739346238e-10,PPP1CA
2.62343036183665e-10,CD99
2.8321123224373e-10,GNAI2
3.33891136961029e-10,ENO1
5.78347147950353e-10,RPLP1
6.20083540070482e-10,COPE
6.79706957384951e-10,ACTG1
1.01061692348026e-09,PSME2
1.10601439118341e-09,JUNB
1.10601439118341e-09,SHKBP1
1.39816913602431e-09,RP11-370I10.2
1.44884904074161e-09,OAS1
1.92881755012309e-09,PPP4C
2.34618147132437e-09,TSPO
3.40151595779048e-09,COTL1
3.40151595779048e-09,IFITM2
4.92489427017517e-09,LYST
5.28263477406199e-09,LRG_151t1
5.66422464487459e-09,AC010970.2
6.98786450925581e-09,ICAM3
1.00703951844139e-08,ALOX5AP
1.28279782352081e-08,ARHGDIA
1.81016694966729e-08,LIME1
2.46363960343388e-08,ZFP36L2
2.68305377915112e-08,MYL6
3.02260914075703e-08,DRAP1
3.4044971286562e-08,LIMD2
3.64358703208723e-08,IFI44L
5.46538054813084e-08,MEGF11
5.94475282333917e-08,TAP1
6.57497234435311e-08,ARHGEF1
8.17377427964061e-08,LRG_38t1
8.8853797652888e-08,RPL36A
1.23918329375527e-07,KAT7
1.39152112499374e-07,LSP1
1.48668009902764e-07,ITGB2
1.84212510134785e-07,LAT
2.03312871871475e-07,FLNA
2.03312871871475e-07,ARHGAP45
2.39549003744344e-07,GPCPD1
3.16209812556423e-07,DGKZ
3.26679684636844e-07,ATP5E
4.16785574053335e-07,RP4-583P15.14
4.30507903548261e-07,UBL5
4.9793900736006e-07,RPL36A-HNRNPH2
5.31134344949891e-07,HCLS1
5.85033914202171e-07,ZFP36
6.23908382291205e-07,CD74
8.0635007693175e-07,IFI44
8.59575901568377e-07,IL10RA
1.00816640102863e-06,MIF
1.0574570801225e-06,DHRS3
1.07440801766501e-06,SNHG5
1.16322604126751e-06,RPL7
1.45196436429629e-06,MYH9
1.49856602726928e-06,RP11-138I1.4
1.49856602726928e-06,RPS26
1.59621129780518e-06,TBC1D10C
1.62157808070162e-06,CD3G
1.78229002090191e-06,GSTK1
2.25542866783002e-06,RBM3
2.29101490445416e-06,TXNIP
2.36384490870378e-06,RP11-264B17.5
2.40110358218359e-06,RPL35
2.76337844695718e-06,ACAP1
3.82948688493201e-06,ISG20
4.82784523381241e-06,MX2
4.90278888820583e-06,SLC2A3
5.21410361820074e-06,RAP2B
5.37693218971569e-06,CCDC85B
5.63054039526278e-06,RP11-474N8.9
7.53095334937726e-06,ARPC5
9.60691553109072e-06,RPL38
1.10105431909702e-05,HCST
1.13486765340731e-05,RPL36
1.72950183214837e-05,CNNM2
2.03857382730099e-05,CD5
2.36595527955963e-05,WSB1
2.66434305644658e-05,BNIP3L
2.70413304210848e-05,P4HB
2.8691781141621e-05,YWHAB
2.91195254997767e-05,UBC
3.18198581452656e-05,PARP9
3.32602197925524e-05,SASH3
3.42556267822758e-05,AC005944.2
4.14723647224058e-05,SLC25A6
4.52847426677394e-05,GPSM3
4.52847426677394e-05,ZNF292
5.47555915981768e-05,H3F3A
6.15171375399903e-05,CLIC1
7.00993948328232e-05,STAT1
0.00010495826750212,AC114271.2
0.000109570955672211,PARP10
0.000112755266501896,ZADH2
0.000112755266501896,MVP
0.000116029736882073,SELPLG
0.000121115942307792,TMEM160
0.000126419266407662,EHD1
0.000139689310545865,S100A10
0.000143723839381771,ALDOA
0.000154313494907576,TRADD
0.000165662153554624,ZAP70
0.000170425849953748,EIF5A
0.000180357021477562,XAF1
0.000182926608912393,ATP5B
0.000196319119549759,TRGC2
0.000210665107008623,TYMP
0.000222872515772909,FTL
0.000235767951942467,CDC37
0.000260104844645781,ITGB1
0.000290919773941578,BNIP3
0.000295013109353981,AC011558.5
0.000295013109353981,APRT
0.000325278561160491,GAPDH
0.000343908628287259,MZT2B
0.00035855880845892,CD4
0.00036357586860758,CTD-2001J20.1
0.000368661236324286,CAPN2
0.000368661236324286,TRABD
0.000406248774686979,YTHDC1
0.000441414144514152,RP5-940J5.9
0.000466485132656125,MYD88
0.000597528570704053,JAK3
0.000743578385181021,LRG_10t1
0.000817891951224947,ARID3A
0.000817891951224947,FERMT3
0.000829080887680522,HLA-B
0.000840418581581126,CNN2
0.000875343487185098,RPN2
0.000911677654861887,LRG_126t1
0.000949476161743235,MTFP1
0.00105787261360479,MAN2B1
0.00119421054552449,CLEC2D
0.00129443126149598,RP11-609D21.3
0.00131191050425228,PRDX1
0.00131191050425228,ANXA11
0.00136573516562422,FKBP8
0.00140280360462874,ATP6V0E1
0.00140280360462874,YWHAQ
0.00140280360462874,ATP5J2
0.00147989498693013,PDK1
0.00158206127761318,GRK6
0.0018808010771183,SLC9A3R1
0.0020097162453605,PBXIP1
0.0021757624184402,RBX1
0.00223401399631973,VIM
0.00226370461577874,MACC1
