0,AE000661.37
0,TRGC2
0,GNLY
0,EPHA5
0,TRDC
2.98117086572347e-12,CCL5
2.98117086572347e-12,NKG7
1.63964397614791e-10,KLRK1
1.69628622259665e-09,CMC1
3.35977956567035e-09,CST7
8.90177620505028e-09,GZMH
1.8629336739906e-08,SNHG20
2.00453929011246e-08,TRGV5
1.40106087176406e-07,VIS1
2.46012182181232e-07,KLRC4-KLRK1
6.06331398866899e-07,AC010970.2
6.95611503953586e-07,GZMB
1.37471626482366e-06,PABPC1
1.80057354182139e-06,KLRC4
4.88757895444891e-06,RPL13A
7.73288295796704e-06,GPR183
1.07013570169734e-05,LTB
1.67982300460778e-05,TRDV1
4.92634580226969e-05,CTSW
0.00012446128406296,ZEB2
0.000149429347280794,RP11-599B13.6
0.000190429503481582,PLEK
0.000202281860758102,RP11-572P18.1
0.000494774750866789,KLRB1
0.000524781156812093,KLRA1P
0.000524781156812093,KLRG1
0.000556555125794223,RPL32
0.000745670067076709,CCR7
0.000996704636758938,RPL18A
0.001670455089545,RPS18
0.00328643253993866,ZNF772
0.00328643253993866,FTH1
0.00347496690415738,RPS12
0.00603905413538319,FGFBP2
0.00637891216334241,TRDV3
0.00884213344589924,SERINC5
0.012886899783541,IL7R
0.0143391066899365,RPL13
0.0218971034714603,KLRD1
0.0332386393172621,NBPF9
0.0452766364616974,APOBEC3C
0.0452766364616974,FCGR3A
