0,LRG_132t1
0,CCL5
0,TRGC2
0,IFI6
0,NKG7
0,GNLY
0,MX1
0,TRDC
5.96234173144694e-12,GAPDH
8.94351259717041e-12,CFL1
4.17363921201286e-11,AE000661.37
5.0679904717299e-11,IFITM1
1.04340980300321e-10,TPI1
1.34152688957556e-10,KLRK1
1.52039714151897e-10,COTL1
2.20606644063537e-10,EPHA5
3.0109825743807e-10,ISG20
3.36872307826752e-10,ALOX5AP
3.36872307826752e-10,S100A4
2.09874428946932e-09,ISG15
2.20904761150109e-09,LY6E
4.30481073010469e-09,MYL12A
5.5509401519771e-09,LTB
5.84011372595228e-09,ANXA2
8.74973649089839e-09,MIF
9.20287446248835e-09,JAML
1.12509388472404e-08,RPLP1
1.94849327783686e-08,VIS1
2.04776626766545e-08,CMC1
2.04776626766545e-08,GZMH
3.70380668357484e-08,LRG_114t1
4.08569467147402e-08,KLRC4
4.29109734412236e-08,ENO1
1.37366391150806e-07,IFI44L
1.51184118113434e-07,PBXIP1
2.80692142862193e-07,MIF-AS1
3.08527335235453e-07,IL7R
3.23442133076668e-07,KLRC4-KLRK1
3.23442133076668e-07,ARHGDIA
4.49566528892831e-07,TRGV5
9.46667827239622e-07,CD52
1.13220397723879e-06,MT-RNR2
1.13841375615209e-06,GZMB
1.79989383486401e-06,S100A6
1.97156754033756e-06,RP5-940J5.9
1.17593685948769e-05,JUNB
1.59599128739529e-05,CORO1A
1.89852706542482e-05,JAK3
2.16152357426225e-05,TSPO
2.47102694483914e-05,ALDOA
3.61783120639281e-05,COPE
3.93974101764449e-05,TMEM173
5.30207588362863e-05,ADAM19
5.76937054130866e-05,RPS2
5.76937054130866e-05,SHISA5
6.27676761135731e-05,ZFP36L2
6.54653942722128e-05,CST7
7.12044492869879e-05,S100A11
8.0743906883729e-05,FLNA
0.000108108756948333,MX2
0.000138603681401062,KLRG1
0.00014444247148715,GPR183
0.000156848026754197,PSME2
0.000163434244075056,GCDH
0.000184851404863018,OAS1
0.000184851404863018,ITGB1
0.000184851404863018,TPM4
0.000217704301317845,MYL6
0.000226767746418943,CYBA
0.00024601052166906,ARPC1B
0.000289383588519154,GSTK1
0.000289383588519154,PARP9
0.000289383588519154,SNHG20
0.000340168949174657,APRT
0.00036871665629068,LRG_77t1
0.00038385192960444,LIME1
0.000469070210254774,ZEB2
0.000481022120751184,TMSB10
0.000488198603941115,LRG_52t1
0.000508085142171488,PFN1
0.000508085142171488,CLEC2B
0.000508085142171488,RPLP0
0.000817628904632439,CCDC85B
0.000884567220900134,RPS2P5
0.000884567220900134,YWHAB
0.000920004750759151,RP11-609D21.3
0.000956820750177112,EXOSC5
0.000995067136244643,P4HA1
0.000995067136244643,EMB
0.00103479772505821,RPSA
0.00103479772505821,ARHGAP15
0.00111893661317319,FXYD5
0.00146906499835264,CXCR6
0.00152706294417726,PLEK
0.001587282214075,FGFBP2
0.00233129327745196,CNN2
0.00242207870986144,PPP4C
0.00251629107271034,MFNG
0.0027155010843285,TRDV1
0.0027155010843285,PLP2
0.0028207620927132,DDX60
0.00292997706975351,LRG_111t1
0.0030432895081467,WDR1
0.0030432895081467,TXNIP
0.00316084791790061,PAG1
0.00316084791790061,EMP3
0.00340932275589889,AES
0.00340932275589889,TRAC
0.00367669641655866,SH3BGRL3
0.00367669641655866,LDHA
0.00443715281089929,SP110
0.00478224720884191,MYH9
0.00598088923206541,MT-CYB
0.00644160287456774,GMFG
0.00644160287456774,LGALS9
0.00668466992227668,RPL4
0.00693660991826839,RALY
0.00693660991826839,SHKBP1
0.00803950550687071,DGKA
0.00803950550687071,CD2
0.00854068578032985,H3F3B
0.00865282809723356,TRBC2
0.00865282809723356,ZFP36
0.00931133501548587,KLRA1P
0.00931133501548587,SAMD9L
0.00965852520635879,SEPW1
0.010390881710165,CSGALNACT1
0.010390881710165,STAT1
0.0120201802691726,ATP5L
0.0120201802691726,CRIP1
0.0124646140863742,COX6C
0.0134016540404516,ARPC3
0.0134016540404516,PPP3CA
0.0138953698883704,ATP5B
0.0149361059000923,TRABD
0.0154843488447871,LRWD1
0.0166397932490283,RPL12
0.0166397932490283,MYD88
0.0178783750021263,CCL4
0.0185306232949807,FKBP5
0.0185306232949807,FAM162A
0.0185306232949807,ANXA7
0.0192058395745756,ZNF772
0.019904801491256,TMEM160
0.0206283118892419,IFI44
0.0237848209723093,RP4-583P15.14
0.0246440537500545,ALDOC
0.025533226179367,NDUFA13
0.0264533404821932,RPS5
0.0274054309429719,HCLS1
0.0294098437181551,LDHB
0.0294098437181551,GLTSCR2
0.0294098437181551,CLDND1
0.0315554178643214,FCGR3A
0.0326840955665828,PSMC4
0.0326840955665828,TYMP
0.0338516850939854,DGKZ
0.0363087908711952,CD4
0.0363087908711952,ENO2
0.0376010056530207,BNIP3L
0.0403198271416101,CCNG2
0.0403198271416101,DHRS3
0.0417493952242651,RNA5-8S5
0.0463374869758235,ZAP70
0.0479721454683846,NPIPB5
0.0496623299944177,ACTG1
0.0496623299944177,LEPROTL1
